ID,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,Birthdate
108,Su Hua,17.8,China,video streaming,107,39,"Beijing, China",China,,0,"Bachelor of Science, Tsinghua University",True,1986-01-01
109,Donald Newhouse,17.6,United States,media,109,91,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University",False,1934-01-01
110,Petr Kellner,17.5,Czechia,"finance, telecommunications",110,0,,Czechia,,4,"Bachelor of Arts/Science, University of Economics in Prague",True,0000-01-01
111,Lee Man Tat,17.4,Hong Kong,food,111,91,"Hong Kong, Hong Kong",Hong Kong,Married,5,,False,1934-01-01
112,Pavel Durov,17.2,Russia,messaging app,112,36,"Dubai, United Arab Emirates",Russia,Single,2,"Master of Science, Saint Petersburg State University",True,1989-01-01
113,James Ratcliffe,17.0,United Kingdom,chemicals,113,68,"London, United Kingdom",United Kingdom,Married,0,,True,1957-01-01
114,Jorge Paulo Lemann & family,16.9,Brazil,beer,114,81,"Zurich, Switzerland",Brazil,Married,5,"Bachelor of Arts/Science, Harvard University",True,1944-01-01
115,Reinhold Wuerth & family,16.8,Germany,fasteners,115,86,"Kuenzelsau, Germany",Germany,Married,3,,True,1939-01-01
116,Charlene de Carvalho-Heineken & family,16.7,Netherlands,Heineken,116,66,"London, United Kingdom",Netherlands,Married,5,"Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",False,1959-01-01
117,Radhakishan Damani,16.5,India,"retail, investments",117,66,"Mumbai, India",India,Married,3,,True,1959-01-01
118,Wang Chuanfu,16.3,China,"batteries, automobiles",118,55,"Shenzhen, China",China,Married,0,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",True,1970-01-01
119,Steve Cohen,16.0,United States,hedge funds,119,64,"Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,1961-01-01
120,Ken Griffin,16.0,United States,hedge funds,119,52,"Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University",True,1973-01-01
121,Chen Zhiping,15.9,China,e-cigarettes,121,45,"Shenzhen, China",China,Married,0,"Master, China Europe International Business School; Bachelor of Arts/Economics, Tongji University",True,1980-01-01
122,"Ernest Garcia, II.",15.9,United States,used cars,121,63,"Tempe, Arizona",United States,Married,0,"Bachelor of Science, Stanford University",True,1962-01-01
123,Uday Kotak,15.9,India,banking,121,62,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, University of Bombay",True,1963-01-01
124,Carl Icahn,15.8,United States,investments,124,85,"Indian Creek, Florida",United States,Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",True,1940-01-01
125,Suleiman Kerimov & family,15.8,Russia,investments,124,55,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Dagestan State University",True,1970-01-01
126,"Thomas Frist, Jr. & family",15.7,United States,hospitals,126,82,"Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",True,1943-01-01
127,Lukas Walton,15.6,United States,Walmart,127,34,"Jackson, Wyoming",United States,Single,0,"Bachelor of Arts/Science, Colorado College",False,1991-01-01
128,Mikhail Fridman,15.5,Russia,"oil, banking, telecom",128,57,"London, United Kingdom",Russia,Divorced,5,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",True,1968-01-01
129,Wei Jianjun & family,15.5,China,automobiles,128,57,"Baoding, China",China,Married,0,"Bachelor of Arts/Science, Hebei Province",True,1968-01-01
130,Zuo Hui,15.5,China,real estate services,128,50,"Beijing, China",China,,0,,True,1975-01-01
131,Zhou Qunfei & family,15.4,Hong Kong,smartphone screens,131,0,"Hong Kong, Hong Kong",Hong Kong,Married,0,,True,0000-01-01
132,Donald Bren,15.3,United States,real estate,132,88,"Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington",True,1937-01-01
133,Hinduja brothers,14.9,United Kingdom,diversified,133,0,"London, United Kingdom",United Kingdom,,0,,False,0000-01-01
134,Lakshmi Mittal,14.9,India,steel,133,70,"London, United Kingdom",India,Married,2,"Bachelor of Arts/Science, St Xavier's College Calcutta",False,1955-01-01
135,Georg Schaeffler,14.9,Germany,auto parts,133,56,"Herzogenaurach, Germany",Germany,Divorced,4,,False,1969-01-01
136,Eric Yuan & family,14.9,United States,video conferencing,133,51,"Santa Clara, California",United States,Married,3,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology",True,1974-01-01
137,Wang Jianlin,14.8,China,real estate,137,66,"Beijing, China",China,Married,1,Liaoning University,True,1959-01-01
138,Kwong Siu-hing,14.7,Hong Kong,real estate,138,91,"Hong Kong, Hong Kong",Hong Kong,Widowed,4,,False,1934-01-01
139,Robin Li,14.7,China,internet search,138,52,"Beijing, China",China,Married,4,"Bachelor of Arts/Science, Peking University; Master of Arts, University at Buffalo",True,1973-01-01
140,Pallonji Mistry,14.6,Ireland,construction,140,91,"Mumbai, India",Ireland,Married,4,,False,1934-01-01
141,Eduardo Saverin,14.6,Brazil,Facebook,140,39,"Singapore, Singapore",Brazil,Married,1,"Bachelor of Arts/Science, Harvard University",True,1986-01-01
142,Roman Abramovich,14.5,Russia,"steel, investments",142,54,"Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Moscow State Law Academy",True,1971-01-01
143,David Tepper,14.5,United States,hedge funds,142,63,New Jersey,United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",True,1962-01-01
144,Gong Hongjia & family,14.4,Hong Kong,video surveillance,144,56,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Arts/Science, Huazhong University of Science and Technology",True,1969-01-01
145,Mike Cannon-Brookes,14.2,Australia,software,145,41,"Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of New South Wales",True,1984-01-01
146,"John Menard, Jr.",14.2,United States,home improvement stores,145,81,"Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",True,1944-01-01
147,Seo Jung-jin,14.2,South Korea,biotech,145,63,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University",True,1962-01-01
148,Cheng Yixiao,14.1,China,video streaming app,148,37,"Beijing, China",China,,0,,True,1988-01-01
149,Liang Wengen,14.1,China,construction equipment,148,64,"Changsha, China",China,Married,1,"Bachelor of Arts/Science, Central South University",True,1961-01-01
150,Scott Farquhar,14.0,Australia,software,150,41,"Sydney, Australia",Australia,Married,2,"Bachelor of Arts/Science, University of New South Wales",True,1984-01-01
151,Finn Rausing,13.9,Sweden,packaging,151,66,"London, United Kingdom",Sweden,,0,,False,1959-01-01
152,Jorn Rausing,13.9,Sweden,packaging,151,61,"Surrey, United Kingdom",Sweden,,0,,False,1964-01-01
153,Kirsten Rausing,13.9,Sweden,packaging,151,68,"Newmarket, United Kingdom",Sweden,,0,,False,1957-01-01
154,Brian Chesky,13.7,United States,Airbnb,154,39,"San Francisco, California",United States,Single,0,"Bachelor of Arts/Science, Rhode Island School of Design",True,1986-01-01
155,Joseph Lau,13.6,Hong Kong,real estate,155,69,"Hong Kong, Hong Kong",Hong Kong,Divorced,6,,True,1956-01-01
156,David Duffield,13.5,United States,business software,156,80,"Incline Village, Nevada",United States,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",True,1945-01-01
157,Charoen Sirivadhanabhakdi,13.5,Thailand,"alcohol, real estate",156,77,"Bangkok, Thailand",Thailand,Married,5,,True,1948-01-01
158,Kim Jung-ju,13.3,South Korea,online games,158,53,"Seoul, South Korea",South Korea,Married,2,"Doctorate, Korea Advanced Institute of Science and Technology; Master of Science, Korea Advanced Institute of Science and Technology; Bachelor of Arts/Science, Seoul National University",True,1972-01-01
159,Robert & Philip Ng,13.3,Singapore,real estate,158,0,"Singapore, Singapore",Singapore,,0,,False,0000-01-01
160,Zhang Bangxin,13.3,China,education,158,41,"Beijing, China",China,,0,"EMBA, China Europe International Business School",True,1984-01-01
161,Anders Holch Povlsen,13.2,Denmark,fashion retail,161,48,"Aarhus, Denmark",Denmark,Married,4,,False,1977-01-01
162,Wang Wenyin,13.2,China,"mining, copper products",161,53,"Shenzhen, China",China,,0,,True,1972-01-01
163,Wang Liping & family,13.1,China,hydraulic machinery,163,55,"Changzhou, China",China,Married,0,,True,1970-01-01
164,Tatyana Bakalchuk,13.0,Russia,ecommerce,164,45,"Moscow region, Russia",Russia,Married,4,"Bachelor of Science, State University of Management",True,1980-01-01
165,Michael Platt,13.0,United Kingdom,hedge funds,164,53,"Geneva, Switzerland",United Kingdom,,0,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics",True,1972-01-01
166,Huang Shilin,12.9,China,batteries,166,54,"Ningde, China",China,,0,"Bachelor of Technology, Hefei University of Technology",True,1971-01-01
167,Ricardo Salinas Pliego & family,12.9,Mexico,"retail, media",166,65,"Mexico City, Mexico",Mexico,Married,6,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey",False,1960-01-01
168,Kumar Birla,12.8,India,commodities,168,53,"Mumbai, India",India,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Bombay",False,1972-01-01
169,Dang Yanbao,12.7,China,coal,169,48,"Yinchuan, China",China,,0,"Master of Business Administration, Peking University",True,1977-01-01
170,Cyrus Poonawalla,12.7,India,vaccines,169,79,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University",False,1946-01-01
171,Robert Kuok,12.6,Malaysia,"palm oil, shipping, property",171,97,"Hong Kong, Hong Kong",Malaysia,Married,8,"Bachelor of Arts/Science, Raffles College",True,1928-01-01
172,Hank & Doug Meijer,12.6,United States,supermarkets,171,0,"Grand Rapids, Michigan",United States,,0,,False,0000-01-01
173,Jack Dorsey,12.5,United States,"Twitter, Square",173,44,"San Francisco, California",United States,Single,0,"Drop Out, New York University",True,1981-01-01
174,Lu Zhongfang,12.5,China,education,173,78,"Tonghua, China",China,,0,,True,1947-01-01
175,Ma Jianrong & family,12.5,China,"textiles, apparel",173,57,"Ningbo, China",China,Married,0,,True,1968-01-01
176,Zhang Tao,12.5,China,e-commerce,173,48,"Beijing, China",China,,0,,True,1977-01-01
177,Nathan Blecharczyk,12.4,United States,Airbnb,177,37,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Harvard University",True,1988-01-01
178,John Doerr,12.4,United States,venture capital,177,69,"Woodside, California",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University",True,1956-01-01
179,Joe Gebbia,12.4,United States,Airbnb,177,39,"San Francisco, California",United States,In Relationship,0,"Bachelor of Arts/Science, Rhode Island School of Design",True,1986-01-01
180,Forrest Li,12.4,Singapore,gaming,177,43,"Singapore, Singapore",Singapore,Married,0,"Bachelor of Engineering, Shanghai Jiaotong University; Master of Business Administration, Stanford Graduate School of Business",True,1982-01-01
